iteration,best,mean,worst
0,2.00000,0.80000,0.00000
1,6.00000,2.00000,0.00000
2,8.00000,3.60000,1.00000
3,8.00000,3.60000,1.00000
4,8.00000,3.60000,1.00000
5,8.00000,3.80000,1.00000
6,8.00000,4.00000,2.00000
7,8.00000,4.00000,2.00000
8,9.00000,5.40000,2.00000
9,9.00000,5.40000,2.00000
10,9.00000,6.20000,2.00000
11,9.00000,6.20000,2.00000
12,9.00000,6.20000,2.00000
13,9.00000,6.60000,4.00000
14,9.00000,6.60000,4.00000
15,9.00000,6.60000,4.00000
16,9.00000,6.60000,4.00000
17,9.00000,6.60000,4.00000
18,9.00000,6.60000,4.00000
19,9.00000,7.20000,6.00000
20,9.00000,7.20000,6.00000
21,9.00000,7.20000,6.00000
22,9.00000,7.20000,6.00000
23,9.00000,7.20000,6.00000
24,9.00000,7.20000,6.00000
25,9.00000,7.20000,6.00000
26,9.00000,7.20000,6.00000
27,9.00000,7.20000,6.00000
28,9.00000,7.60000,6.00000
29,9.00000,7.60000,6.00000
30,9.00000,7.60000,6.00000
31,9.00000,7.60000,6.00000
32,9.00000,7.60000,6.00000
33,9.00000,7.60000,6.00000
34,9.00000,7.60000,6.00000
35,9.00000,7.60000,6.00000
36,9.00000,7.60000,6.00000
37,9.00000,7.60000,6.00000
38,9.00000,7.60000,6.00000
39,9.00000,7.60000,6.00000
40,9.00000,7.60000,6.00000
41,9.00000,7.60000,6.00000
42,9.00000,7.60000,6.00000
43,9.00000,7.60000,6.00000
44,73.00000,21.00000,7.00000
45,73.00000,21.00000,7.00000
46,73.00000,21.00000,7.00000
47,73.00000,21.00000,7.00000
48,115.00000,42.60000,8.00000
49,115.00000,42.60000,8.00000
50,115.00000,42.60000,8.00000
51,115.00000,44.60000,8.00000
52,367.00000,116.40000,9.00000
53,367.00000,116.80000,11.00000
54,367.00000,116.80000,11.00000
55,367.00000,123.40000,18.00000
56,367.00000,129.80000,44.00000
57,367.00000,142.60000,50.00000
58,367.00000,142.60000,50.00000
59,367.00000,142.60000,50.00000
60,367.00000,142.60000,50.00000
61,367.00000,146.80000,71.00000
62,367.00000,147.80000,73.00000
63,367.00000,160.60000,76.00000
64,367.00000,166.80000,107.00000
65,367.00000,166.80000,107.00000
66,367.00000,166.80000,107.00000
67,367.00000,166.80000,107.00000
68,367.00000,166.80000,107.00000
69,367.00000,166.80000,107.00000
70,367.00000,189.00000,108.00000
71,367.00000,194.20000,115.00000
72,367.00000,194.20000,115.00000
73,367.00000,194.20000,115.00000
74,367.00000,200.60000,134.00000
75,367.00000,215.00000,137.00000
76,367.00000,215.00000,137.00000
77,367.00000,215.00000,137.00000
78,367.00000,215.00000,137.00000
79,367.00000,216.40000,144.00000
80,367.00000,216.40000,144.00000
81,367.00000,216.40000,144.00000
82,367.00000,217.20000,147.00000
83,367.00000,217.20000,147.00000
84,367.00000,259.00000,148.00000
85,385.00000,306.40000,206.00000
86,385.00000,316.20000,218.00000
87,385.00000,316.20000,218.00000
88,385.00000,316.20000,218.00000
89,385.00000,333.40000,255.00000
90,385.00000,333.40000,255.00000
91,385.00000,333.40000,255.00000
92,385.00000,333.40000,255.00000
93,385.00000,333.40000,255.00000
94,385.00000,333.40000,255.00000
95,385.00000,333.40000,255.00000
96,385.00000,333.40000,255.00000
97,385.00000,333.40000,255.00000
98,385.00000,333.40000,255.00000
99,385.00000,333.40000,255.00000
