Run,Score,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16
1,199.00000,0.35490,0.18766,-0.11424,0.59218,0.21075,-0.61499,-1.18771,-0.26455,-0.85894,-0.70277,-0.24943,0.21080,0.96384,-0.25339,0.05705,-0.26282
2,199.00000,0.22967,-0.84892,-0.38832,-0.91702,-0.23900,-0.79451,0.10809,-0.93448,-1.28474,0.04216,-0.50430,0.84906,0.43046,-0.91527,1.03415,-0.33128
3,198.00000,-0.29511,-0.65048,-0.89519,0.19511,-1.06895,-0.71277,0.64002,-0.90640,0.30252,-0.76309,-0.72500,0.47938,-0.14898,-0.77696,-0.63310,0.29947
4,199.00000,-0.03778,-0.27127,-0.20600,-0.51293,0.71017,-0.66175,-0.83965,-0.12021,-0.85299,0.00695,-0.94170,0.29718,0.52164,0.15557,-0.52322,-0.04724
5,199.00000,-0.06075,-0.32030,0.88239,0.27038,-0.53332,-1.06652,-0.82997,-0.46841,-0.68216,-0.43299,-0.32196,0.60504,-0.40350,-0.06680,0.93716,-0.21956
6,199.00000,-0.67076,0.37073,0.00701,0.29653,-0.94306,-0.51131,-0.98401,-0.11369,-0.48169,-0.96094,0.04873,0.57707,-0.27208,0.11899,-0.47006,-0.09963
7,199.00000,0.41072,-0.40974,0.72032,0.12467,-0.80783,-0.50570,0.11573,-0.37496,-0.93492,0.06971,-0.15810,0.26242,0.57904,0.33153,-0.26758,-0.28902
8,199.00000,0.87692,0.49228,-0.89108,0.84651,-0.25672,-0.84705,-0.27390,-0.70471,-0.92004,-0.34357,-0.07788,1.01453,-0.15086,0.65443,0.78894,-0.11680
9,199.00000,0.48904,-0.10898,0.36444,-0.67662,-0.70364,-1.01621,-0.50032,-0.87282,-0.58402,-0.85997,-0.60745,0.49523,0.29041,0.37122,-1.03400,0.25081
10,199.00000,0.52595,-1.11024,-1.23300,0.42304,0.09403,-0.25751,0.11856,-0.37191,-0.57544,0.13932,-0.68478,0.36476,-0.16879,-0.62256,0.11266,-0.31972
11,199.00000,0.66377,-0.77085,0.26357,0.88424,0.01520,0.02118,-0.30264,-0.47074,-0.89050,-0.91699,-0.08756,0.64383,-0.88796,-0.50428,0.60465,-0.00838
12,198.00000,0.40871,-0.61581,0.06259,0.52054,-0.86286,-0.34025,0.52961,-0.67599,-0.48682,0.21327,0.52698,0.90557,-0.22166,-0.91883,-0.36078,0.22352
13,199.00000,-0.93884,-0.46974,1.25444,-0.96295,-0.63083,-1.02574,-0.35423,-0.49017,-0.79621,-0.10339,0.72717,0.78169,0.28700,-0.01002,0.52615,-0.51701
14,198.00000,-0.47095,-0.95632,0.89364,-0.10366,-0.48694,-0.17987,0.25674,-0.66630,-0.99229,-0.03356,-0.14877,0.93295,-0.25188,-0.00699,0.09255,0.22957
15,199.00000,-0.26433,-0.37668,-0.11294,-0.49107,-0.06322,-0.70081,-0.63237,-0.17179,-0.83199,-0.41164,-0.85403,0.02951,0.11676,0.27165,-0.45889,-0.71592
16,199.00000,-0.59188,0.46599,0.53877,0.89730,-0.95410,-0.86438,-0.55746,-0.63979,-0.24501,-0.96934,-1.15947,0.71458,-0.38510,-0.05977,0.16772,0.03301
17,199.00000,0.87489,0.27589,-1.14110,-0.19378,-0.42975,-0.80812,0.06754,-0.80618,-0.98763,0.65096,0.37521,1.04840,0.69754,0.04048,0.45528,-0.00110
18,199.00000,-0.56916,-0.72668,0.63347,0.26780,-0.26082,-0.64318,-0.09815,-0.48928,-0.99655,-0.67761,-0.39491,1.07390,-0.14777,-0.28522,0.84081,-0.36176
19,199.00000,0.56378,0.27023,-0.55347,0.45744,0.10297,-0.26921,-0.57326,-0.15436,-0.67636,-0.25808,-0.61745,-0.03168,0.75944,-0.14573,-0.59179,-0.26459
20,198.00000,-0.36994,-0.22520,-0.74806,-0.60393,-0.67039,-0.70987,-0.25056,-0.54483,-1.06855,-0.09657,-0.62775,0.43800,-1.05303,-0.12137,-0.19534,-0.75987
21,199.00000,0.40568,0.22244,-0.32107,0.87538,-0.83296,-0.97297,0.33732,-1.05472,-0.88954,-0.46963,-0.86719,0.01880,-0.30308,0.71385,-0.64914,-0.83524
22,199.00000,-0.31765,0.00290,-0.48356,0.43417,-1.06562,-0.93119,-1.16570,-0.82479,-0.84428,-0.72813,-0.18809,0.34362,0.46314,0.41024,-0.25947,-0.31787
23,199.00000,-0.66667,0.61490,-0.80919,0.91180,-0.58416,0.10271,0.13353,-0.19844,-0.75556,-0.45510,-0.32464,0.19477,-0.54433,0.29301,-0.19634,-0.11387
24,199.00000,-0.57607,-0.58039,-0.64775,0.73000,-0.06153,-0.45993,-0.29147,-0.52378,-0.78295,0.82494,-0.56063,0.62054,0.07941,0.00520,0.49388,-0.52494
25,199.00000,0.88964,-0.73504,-0.46442,0.50094,-0.91541,-0.41693,-0.25760,-0.45124,-0.95473,0.85890,-1.02004,0.59766,-0.81060,-0.11761,0.55690,-0.97463
26,199.00000,0.39050,-0.50612,-0.49393,-0.96473,-0.11723,-0.99670,-0.00598,-0.10697,-0.36604,-0.33549,0.38850,0.26769,0.03171,0.18040,-0.78466,-0.14553
27,199.00000,-0.69903,-0.22034,0.17557,-0.25856,-0.71231,-0.55063,0.27729,-0.73425,-0.76216,-0.72773,0.58118,0.73675,-0.78049,0.62160,-1.05812,0.09318
28,199.00000,0.90152,-0.71547,0.96588,0.94690,-0.17868,-0.86077,0.43561,-0.75702,-0.95776,-0.70161,-0.01444,0.16007,0.63648,0.24736,-0.77316,-0.77436
29,199.00000,-0.23708,-0.79561,-0.01248,0.04153,-0.76376,-0.24885,-0.23427,-0.39272,-0.73751,-0.20608,0.83597,0.56601,0.76827,0.24710,0.06877,0.06996
30,199.00000,0.69126,0.99962,0.64978,0.87655,-1.03419,-0.39917,0.79950,-1.03539,-0.91189,-0.20362,0.07624,0.91008,-0.07813,0.22424,0.24018,-0.24423
